"大分類カテゴリーコード","大分類カテゴリー","中分類カテゴリーコード","中分類カテゴリー","小分類カテゴリーコード","小分類カテゴリー"
"100000001","レディース服","200000001","スーツ","300002246","パンツスーツ"
"100000001","レディース服","200000001","スーツ","300002247","スカートスーツ"
"100000001","レディース服","200000001","スーツ","300002248","ワンピーススーツ"
"100000001","レディース服","200000001","スーツ","300002249","その他"
"100000001","レディース服","200000002","ワンピース・ドレス","300000001","ドレス"
"100000001","レディース服","200000002","ワンピース・ドレス","300000008","プリント・柄ワンピ"
"100000001","レディース服","200000002","ワンピース・ドレス","300002193","長袖ミニ・膝丈"
"100000001","レディース服","200000002","ワンピース・ドレス","300002194","ニットワンピ"
"100000001","レディース服","200000002","ワンピース・ドレス","300002195","その他"
"100000001","レディース服","200000002","ワンピース・ドレス","300002250","シャツワンピ"
"100000001","レディース服","200000002","ワンピース・ドレス","300002506","長袖ロング・マキシ丈"
"100000001","レディース服","200000002","ワンピース・ドレス","300002767","Tシャツワンピ"
"100000001","レディース服","200000002","ワンピース・ドレス","300002768","袖なしミニ・膝丈"
"100000001","レディース服","200000002","ワンピース・ドレス","300002769","半袖ミニ・膝丈"
"100000001","レディース服","200000002","ワンピース・ドレス","300002770","袖なしロング・マキシ丈"
"100000001","レディース服","200000002","ワンピース・ドレス","300002771","半袖ロング・マキシ丈"
"100000001","レディース服","200000002","ワンピース・ドレス","300002862","デニムワンピ"
"100000001","レディース服","200000002","ワンピース・ドレス","320001438","シフォンワンピ"
"100000001","レディース服","200000002","ワンピース・ドレス","320001439","レースワンピ"
"100000001","レディース服","200000002","ワンピース・ドレス","320001440","ベアワンピ"
"100000001","レディース服","200000002","ワンピース・ドレス","320001441","キャミワンピ"
"100000001","レディース服","200000004","トップス","300000012","キャミソール・タンクトップ"
"100000001","レディース服","200000004","トップス","300000013","シャツ・ブラウス"
"100000001","レディース服","200000004","トップス","300000025","ニット"
"100000001","レディース服","200000004","トップス","300002188","トレーナー"
"100000001","レディース服","200000004","トップス","300002252","Tシャツ・カットソー"
"100000001","レディース服","200000004","トップス","300002253","チュニック"
"100000001","レディース服","200000004","トップス","300002254","ポロシャツ"
"100000001","レディース服","200000004","トップス","300003071","カーディガン"
"100000001","レディース服","200000004","トップス","300003075","パーカー"
"100000001","レディース服","200000009","パンツ","300000034","ロングパンツ"
"100000001","レディース服","200000009","パンツ","300000038","デニム・ジーンズ"
"100000001","レディース服","200000009","パンツ","300000047","レギンス"
"100000001","レディース服","200000009","パンツ","300002760","ショート・ハーフパンツ"
"100000001","レディース服","200000009","パンツ","300002762","クロップド・カプリパンツ"
"100000001","レディース服","200000009","パンツ","300002763","その他"
"100000001","レディース服","200000009","パンツ","320001449","カーゴパンツ"
"100000001","レディース服","200000009","パンツ","320001450","サルエルパンツ"
"100000001","レディース服","200000011","スカート","300000040","ミニスカート"
"100000001","レディース服","200000011","スカート","300002764","ロングスカート"
"100000001","レディース服","200000011","スカート","300002765","キュロットスカート"
"100000001","レディース服","200000011","スカート","300002859","ミディアムスカート"
"100000001","レディース服","200000011","スカート","300002860","その他"
"100000001","レディース服","200000011","スカート","300003074","デニムスカート"
"100000001","レディース服","200000012","アウター","300000041","ジャンパー・ブルゾン"
"100000001","レディース服","200000012","アウター","300000042","その他"
"100000001","レディース服","200000012","アウター","300002186","ダウンジャケット・コート"
"100000001","レディース服","200000012","アウター","300002187","ライダースジャケット"
"100000001","レディース服","200000012","アウター","300002189","トレンチコート"
"100000001","レディース服","200000012","アウター","300002190","ファー・毛皮"
"100000001","レディース服","200000012","アウター","300002258","デニムジャケット・コート"
"100000001","レディース服","200000012","アウター","300002259","ポンチョ"
"100000001","レディース服","200000012","アウター","300002260","ベスト"
"100000001","レディース服","200000012","アウター","300002261","モッズ・ミリタリー"
"100000001","レディース服","200000012","アウター","320001123","ノーカラージャケット"
"100000001","レディース服","200000012","アウター","320001125","チェスターコート"
"100000001","レディース服","200000012","アウター","320001445","ツイードジャケット"
"100000001","レディース服","200000012","アウター","320001446","テーラードジャケット"
"100000001","レディース服","200000012","アウター","320001447","Aラインコート"
"100000001","レディース服","200000012","アウター","320001448","ピーコート"
"100000049","下着・レッグウェア","200000015","靴下・レッグウェア","300000048","靴下"
"100000049","下着・レッグウェア","200000015","靴下・レッグウェア","300000049","ストッキング・タイツ"
"100000049","下着・レッグウェア","200000015","靴下・レッグウェア","300002267","その他"
"100000001","レディース服","200000018","和服・コスチューム","300000052","その他"
"100000001","レディース服","200000018","和服・コスチューム","300002268","和服・着物・浴衣"
"100000001","レディース服","200000018","和服・コスチューム","300002272","コスチューム"
"100000001","レディース服","200000018","和服・コスチューム","320001127","着物"
"100000001","レディース服","200000018","和服・コスチューム","320001128","和装小物"
"100000002","メンズファッション","200000020","トップス","300000055","長袖シャツ"
"100000002","メンズファッション","200000020","トップス","300000056","半袖シャツ"
"100000002","メンズファッション","200000020","トップス","300000057","その他"
"100000002","メンズファッション","200000020","トップス","300000071","ニット・セーター"
"100000002","メンズファッション","200000020","トップス","300000072","カットソー"
"100000002","メンズファッション","200000020","トップス","300002275","七分袖シャツ"
"100000002","メンズファッション","200000020","トップス","300002276","ユニークデザイン"
"100000002","メンズファッション","200000020","トップス","300002277","フード付き"
"100000002","メンズファッション","200000020","トップス","300002294","ポロシャツ"
"100000002","メンズファッション","200000020","トップス","300002295","カジュアルシャツ"
"100000002","メンズファッション","200000020","トップス","300002296","タンクトップ"
"100000002","メンズファッション","200000020","トップス","300003249","Tシャツ"
"100000002","メンズファッション","200000021","アウター","300000058","その他"
"100000002","メンズファッション","200000021","アウター","300000059","Aライン・ピーコート"
"100000002","メンズファッション","200000021","アウター","300000060","ジャンパー・ブルゾン"
"100000002","メンズファッション","200000021","アウター","300002278","カーディガン"
"100000002","メンズファッション","200000021","アウター","300002279","パーカー・トレーナー"
